Word,Start Time,End Time,Confidence
उसके,0.0,0.92,0.434
काम,0.92,1.72,0.702
करवाती,1.72,2.24,0.584
है,2.24,2.4,0.846
उसके,2.4,2.86,0.564
उसका,2.86,3.24,0.752
सरे,3.24,3.52,0.62
लिए,3.52,3.74,0.593
काँच,3.74,4.08,0.353
जो,4.08,4.24,0.508
हो,4.24,4.34,0.457
पाता,4.34,4.76,0.747
है,4.76,4.86,0.881
और,4.86,5.2,0.482
तो,5.2,5.3,0.525
वो,5.3,5.48,0.445
बची,5.48,5.96,0.653
कुछ,5.96,6.28,0.828
नहीं,6.28,6.48,0.746
है,6.48,6.5,0.624
आज,6.5,7.02,0.459
तक,7.02,7.12,0.601
मैं,7.12,7.28,0.603
एक,7.28,7.5,0.673
काम,7.5,7.68,0.687
करवा,7.68,7.82,0.672
था,7.82,8.0,0.613
कि,8.0,8.24,0.656
मेरे,8.24,8.28,0.87
चोड़सों,8.28,9.06,0.699
आगे,9.06,9.32,0.437
अथाला,9.32,9.8,0.557
के,9.8,9.88,0.744
बात,9.88,10.14,0.807
करें,10.14,10.52,0.903
जो,10.52,10.76,0.41
बेची,10.76,10.94,0.595
कि,10.94,11.12,0.31
आगे,11.12,11.44,0.831
अथाला,11.44,11.88,0.945
के,11.88,11.92,0.897
बात,11.92,12.0,0.945
करें,12.0,12.54,0.938
जो,12.54,12.82,0.468
बेची,12.82,13.0,0.821
कि,13.0,13.3,0.369
आगे,13.3,13.48,0.684
अथाला,13.48,13.5,0.946
के,13.5,13.52,0.92
बात,13.52,13.54,0.946
करें,13.54,13.56,0.936
जो,13.56,13.58,0.636
बेची,13.58,13.6,0.923
कि,13.6,13.62,0.622
आगे,13.62,13.64,0.687
अथाला,13.64,13.66,0.941
के,13.66,13.68,0.921
बात,13.68,13.7,0.949
करें,13.7,13.72,0.939
जो,13.72,13.74,0.764
बेची,13.74,13.76,0.941
कि,13.76,13.78,0.723
आगे,13.78,13.8,0.87
अथाला,13.8,13.82,0.943
के,13.82,13.84,0.929
बात,13.84,13.86,0.952
करें,13.86,13.88,0.941
जो,13.88,13.9,0.809
बेची,13.9,13.92,0.949
कि,13.92,13.94,0.771
आगे,13.94,13.96,0.898
अथाला,13.96,13.98,0.94
के,13.98,14.0,0.918
बात,14.0,35.98,0.953
