Word,Start Time,End Time,Confidence
उसे,0.0,1.3,0.522
काम,1.3,1.6,0.75
करवाती,1.6,2.02,0.793
है,2.02,2.3,0.881
उसको,2.3,2.98,0.503
नहीं,2.98,3.94,0.468
हो,3.94,3.98,0.89
पता,3.98,4.38,0.919
है,4.38,4.68,0.943
और,4.68,4.88,0.832
फिर,4.88,5.0,0.88
वो,5.0,5.14,0.82
बच्ची,5.14,5.56,0.815
आता,5.56,6.62,0.508
में,6.62,6.78,0.644
यह,6.78,7.16,0.817
कहना,7.16,7.38,0.7
है,7.38,7.56,0.69
की,7.56,7.74,0.801
मेरे,7.74,7.78,0.872
दोस्तों,7.78,8.46,0.992
साढे,8.46,8.88,0.665
अठारह,8.88,9.1,0.966
की,9.1,9.3,0.718
बात,9.3,9.48,0.992
करे,9.48,9.84,0.982
बच्ची,9.84,10.34,0.778
साढे,10.34,10.92,0.879
अठारह,10.92,11.0,0.997
की,11.0,11.14,0.913
बात,11.14,11.4,0.998
करे,11.4,11.7,0.989
